title,year,genre,rating,numvotes,plot
Neon Genesis Evangelion: The End of Evangelion,1997,"Animation,Action,Drama",8.1,32521,Concurrent theatrical ending of the TV series
Psycho,1960,"Horror,Mystery,Thriller",8.5,562157,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,427841,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
Some Like It Hot,1959,"Comedy,Music,Romance",8.2,229267,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Third Man,1949,"Film-Noir,Mystery,Thriller",8.1,150140,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
The Silence of the Lambs,1991,"Crime,Drama,Thriller",8.6,1185564,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"Lock, Stock and Two Smoking Barrels",1998,"Comedy,Crime",8.2,507574,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
The Wolf of Wall Street,2013,"Biography,Crime,Drama",8.2,1086263,Based on the true story of
Howl's Moving Castle,2004,"Animation,Adventure,Family",8.2,295846,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Rang De Basanti,2006,"Comedy,Drama",8.2,104246,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Dead Poets Society,1989,"Comedy,Drama",8.1,389872,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
Spirited Away,2001,"Animation,Adventure,Family",8.6,585421,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Memento,2000,"Mystery,Thriller",8.4,1063151,A man with short-term memory loss attempts to track down his wife's murderer.
Mr. Smith Goes to Washington,1939,"Comedy,Drama",8.1,101157,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
The Pianist,2002,"Biography,Drama,Music",8.5,674989,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1370777,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Butch Cassidy and the Sundance Kid,1969,"Biography,Crime,Drama",8.0,193305,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
Hacksaw Ridge,2016,"Biography,Drama,History",8.1,392476,World War II American Army Medic
The Elephant Man,1980,"Biography,Drama",8.1,206715,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,375205,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Princess Bride,1987,"Adventure,Family,Fantasy",8.1,372108,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Spotlight,2015,"Biography,Crime,Drama",8.1,385378,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Swades,2004,Drama,8.2,77583,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
The Passion of Joan of Arc,1928,"Biography,Drama,History",8.1,42929,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
